"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg vs 0 mg/kg"	"Lachnospiraceae UCG-001"	-1.59829651866749	0.552226894060639	-2.89427504501796	0.00550644110962761	1
"75 mg/kg vs 0 mg/kg"	"Catonella"	-0.505783663487662	0.425625845849259	-1.18832930006509	0.240001406593281	1
"75 mg/kg vs 0 mg/kg"	"[Anaerorhabdus] furcosa group"	-0.884587064371424	0.492344056734784	-1.79668476194876	0.0780852268139273	1
"75 mg/kg vs 0 mg/kg"	"[Eubacterium] ventriosum group"	0.237068681493906	0.428344809456244	0.55345291050649	0.582280672202317	1
"75 mg/kg vs 0 mg/kg"	"SP3-e08"	-0.986589458934972	0.508497929733678	-1.94020349198214	0.0576835130389762	1
"75 mg/kg vs 0 mg/kg"	"Prevotellaceae UCG-001"	0.140022590350924	0.443060230822617	0.316035113535124	0.753217123117832	1
"75 mg/kg vs 0 mg/kg"	"Jeotgalibaca"	0.370089935927107	0.254917804325128	1.45180104978107	0.152451144132857	1
"75 mg/kg vs 0 mg/kg"	"Caproiciproducens"	0.187731671140667	0.355628816709291	0.527886555644698	0.599781349473212	1
"75 mg/kg vs 0 mg/kg"	"Prevotellaceae NK3B31 group"	-1.03729890999343	0.473582064164168	-2.19032558132068	0.0329214908919558	1
"75 mg/kg vs 0 mg/kg"	"Coprococcus"	-0.509232686823771	0.519041670688446	-0.981101741115188	0.33100006055113	1
"75 mg/kg vs 0 mg/kg"	"Succinatimonas"	-0.380219589389367	0.416430351003187	-0.913044854856071	0.365353783823015	1
"75 mg/kg vs 0 mg/kg"	"Halomonas"	0.341685111167744	0.237972567683832	1.43581722251997	0.156930481578679	1
"75 mg/kg vs 0 mg/kg"	"Dielma"	-0.123970980417659	0.400498210886005	-0.30954190817333	0.758123085498409	1
"75 mg/kg vs 0 mg/kg"	"Prevotellaceae YAB2003 group"	-0.787602940009928	0.45395191316049	-1.73499200504851	0.0885544991767784	1
"75 mg/kg vs 0 mg/kg"	"Atopobium"	-1.19443322046855	0.50952109723204	-2.34422721052628	0.022847112688013	1
"75 mg/kg vs 0 mg/kg"	"Selenomonas"	0.151304916237934	0.478378919614419	0.316286755193746	0.753027199093039	1
"75 mg/kg vs 0 mg/kg"	"FD2005"	-0.759034387857001	0.451932547016739	-1.67953025925545	0.0989351910051492	1
"75 mg/kg vs 0 mg/kg"	"Glutamicibacter"	-0.730325248387148	0.419081642486502	-1.7426801232666	0.0871894283430755	1
"75 mg/kg vs 0 mg/kg"	"Macrococcus"	0.256960659017353	0.488789284468423	0.525708453892985	0.601283561210043	1
"75 mg/kg vs 0 mg/kg"	"Faecalitalea"	0.115051474790142	0.45230001492169	0.254369823114115	0.800194211416488	1
"75 mg/kg vs 0 mg/kg"	"Howardella"	-1.2951818279524	0.518325588047219	-2.49878041489707	0.015596913632767	1
"75 mg/kg vs 0 mg/kg"	"Pseudoramibacter"	-0.371530196805666	0.468558660384069	-0.792921416714674	0.431358928306563	1
"75 mg/kg vs 0 mg/kg"	"CAG-352"	-0.654822743529844	0.505869580814373	-1.2944497324304	0.201121738114	1
"75 mg/kg vs 0 mg/kg"	"Tyzzerella"	-1.32483342932253	0.40533000756949	-3.2685303446116	0.00190133324918874	1
"75 mg/kg vs 0 mg/kg"	"Candidatus Soleaferrea"	0.785225072919986	0.44457623314861	1.76623268265784	0.0831158526102808	1
